year,csd,boro,enrollment_csd,enrollment_boro,enrollment_nyc,classroom_csd,classroom_boro,classroom_nyc,support_csd,support_boro,support_nyc,leadership_csd,leadership_boro,leadership_nyc,ancillary_csd,ancillary_boro,ancillary_nyc,building_csd,building_boro,building_nyc,grand_total_csd,grand_total_boro,grand_total_nyc,weight
2004,27,Queens,46880,272697,1086886,7532.045042877,7150.773925781,8089.321289063,1387.169602649,1294.973876953,1708.364379883,1208.721984174,1192.908325195,1360.32019043,1350.712974386,1247.313476563,1387.405883789,1070.04076138,880.6459350586,988.8999633789,14075.36227376,13282.04785156,15144.33496094,0.1719124
2004,28,Queens,37749,272697,1086886,7104.420454194,7150.773925781,8089.321289063,1373.847383044,1294.973876953,1708.364379883,1210.692012866,1192.908325195,1360.32019043,1090.753054518,1247.313476563,1387.405883789,873.1378343891,880.6459350586,988.8999633789,13182.48908373,13282.04785156,15144.33496094,0.1384284
2004,29,Queens,30753,272697,1086886,7228.399479332,7150.773925781,8089.321289063,1289.294594077,1294.973876953,1708.364379883,1278.903905503,1192.908325195,1360.32019043,1309.886959066,1247.313476563,1387.405883789,870.3526979662,880.6459350586,988.8999633789,13500.80149906,13282.04785156,15144.33496094,0.1127735
2004,30,Queens,42229,272697,1086886,7386.155082968,7150.773925781,8089.321289063,1366.450488202,1294.973876953,1708.364379883,1174.070954311,1192.908325195,1360.32019043,1300.193798528,1247.313476563,1387.405883789,913.4475723533,880.6459350586,988.8999633789,13599.20970575,13282.04785156,15144.33496094,0.1548569
2004,31,Staten Island,59963,59963,1086886,6982.422756324,6982.422363281,8089.321289063,1506.184153827,1506.184204102,1708.364379883,1201.150330828,1201.150268555,1360.32019043,1556.545755884,1556.545776367,1387.405883789,936.6254668686,936.6254272461,988.8999633789,13749.52982015,13749.53027344,15144.33496094,1
2005,7,Bronx,20655,219488,1075338,8642.318885139,8252.120117188,8185.830566406,2291.840890438,1804.021240234,1907.354614258,1644.464906947,1534.277954102,1452.490356445,1506.66910569,1365.194213867,1393.950683594,1175.823626373,1014.041931152,1053.554931641,17202.46700917,15874.72753906,15939.81933594,0.0941054
2005,8,Bronx,34772,219488,1075338,7744.256193429,8252.120117188,8185.830566406,1720.779332333,1804.021240234,1907.354614258,1456.402195587,1534.277954102,1452.490356445,1334.20618433,1365.194213867,1393.950683594,992.2981686057,1014.041931152,1053.554931641,15166.00436784,15874.72753906,15939.81933594,0.1584232
2005,9,Bronx,32874,219488,1075338,8972.237607988,8252.120117188,8185.830566406,1666.3305255,1804.021240234,1907.354614258,1582.071484381,1534.277954102,1452.490356445,1481.633113519,1365.194213867,1393.950683594,1013.795303205,1014.041931152,1053.554931641,16590.42418988,15874.72753906,15939.81933594,0.1497758
2005,10,Bronx,65582,219488,1075338,8282.35849741,8252.120117188,8185.830566406,1747.68780831,1804.021240234,1907.354614258,1543.357762811,1534.277954102,1452.490356445,1255.882613006,1365.194213867,1393.950683594,1021.692193035,1014.041931152,1053.554931641,15762.70995132,15874.72753906,15939.81933594,0.2987954
2005,11,Bronx,42113,219488,1075338,7591.803449742,8252.120117188,8185.830566406,1634.708391936,1804.021240234,1907.354614258,1303.601425651,1534.277954102,1452.490356445,1342.375980965,1365.194213867,1393.950683594,857.8938793224,1014.041931152,1053.554931641,14606.76177706,15874.72753906,15939.81933594,0.1918693
2005,12,Bronx,23492,219488,1075338,8752.353024567,8252.120117188,8185.830566406,2151.788225002,1804.021240234,1907.354614258,1873.961098335,1534.277954102,1452.490356445,1469.79745928,1365.194213867,1393.950683594,1162.889641566,1014.041931152,1053.554931641,17340.5735513,15874.72753906,15939.81933594,0.1070309
2005,13,Brooklyn,21344,326772,1075338,7883.458491639,7687.823730469,8185.830566406,1626.037378648,1637.806152344,1907.354614258,1405.847018467,1360.163574219,1452.490356445,1085.840437471,1183.216552734,1393.950683594,1424.942541679,1047.953613281,1053.554931641,15478.34925822,14849.41308594,15939.81933594,0.0653177
2005,14,Brooklyn,19966,326772,1075338,8506.726340779,7687.823730469,8185.830566406,1975.432639533,1637.806152344,1907.354614258,1713.201461586,1360.163574219,1452.490356445,1262.142882827,1183.216552734,1393.950683594,1379.35529292,1047.953613281,1053.554931641,16920.75086724,14849.41308594,15939.81933594,0.0611007
2005,15,Brooklyn,25734,326772,1075338,8053.427754752,7687.823730469,8185.830566406,1798.810636749,1637.806152344,1907.354614258,1324.691604724,1360.163574219,1452.490356445,1166.271086243,1183.216552734,1393.950683594,1198.465723256,1047.953613281,1053.554931641,15589.50072146,14849.41308594,15939.81933594,0.0787522
2005,16,Brooklyn,14873,326772,1075338,7922.168952795,7687.823730469,8185.830566406,1731.700656449,1637.806152344,1907.354614258,1301.63468896,1360.163574219,1452.490356445,1145.791774588,1183.216552734,1393.950683594,1155.36395527,1047.953613281,1053.554931641,15169.28886676,14849.41308594,15939.81933594,0.0455149
2005,17,Brooklyn,33930,326772,1075338,7922.653530712,7687.823730469,8185.830566406,1675.854043057,1637.806152344,1907.354614258,1540.098821612,1360.163574219,1452.490356445,1259.072413429,1183.216552734,1393.950683594,1092.725309805,1047.953613281,1053.554931641,15333.75641304,14849.41308594,15939.81933594,0.1038339
2005,18,Brooklyn,24971,326772,1075338,7019.682881179,7687.823730469,8185.830566406,1753.969013543,1637.806152344,1907.354614258,1278.636958975,1360.163574219,1452.490356445,1196.311841463,1183.216552734,1393.950683594,1058.047910944,1047.953613281,1053.554931641,14194.76879472,14849.41308594,15939.81933594,0.0764172
2005,19,Brooklyn,31613,326772,1075338,8367.263863833,7687.823730469,8185.830566406,1546.180372712,1637.806152344,1907.354614258,1512.930896578,1360.163574219,1452.490356445,1265.451649195,1183.216552734,1393.950683594,1015.158820399,1047.953613281,1053.554931641,15649.50917984,14849.41308594,15939.81933594,0.0967433
2005,20,Brooklyn,42540,326772,1075338,7467.360581598,7687.823730469,8185.830566406,1402.466854842,1637.806152344,1907.354614258,1122.951529597,1360.163574219,1452.490356445,1192.733558149,1183.216552734,1393.950683594,766.4606066685,1047.953613281,1053.554931641,13834.36749196,14849.41308594,15939.81933594,0.1301825
2005,21,Brooklyn,37589,326772,1075338,7363.725098184,7687.823730469,8185.830566406,1621.624728056,1637.806152344,1907.354614258,1250.034844352,1360.163574219,1452.490356445,1151.419089204,1183.216552734,1393.950683594,996.1062283484,1047.953613281,1053.554931641,14322.67747663,14849.41308594,15939.81933594,0.1150313
2005,22,Brooklyn,42744,326772,1075338,6696.972183648,7687.823730469,8185.830566406,1467.763085467,1637.806152344,1907.354614258,1152.03188646,1360.163574219,1452.490356445,1043.534218148,1183.216552734,1393.950683594,805.3152826232,1047.953613281,1053.554931641,13041.5628911,14849.41308594,15939.81933594,0.1308068
2005,23,Brooklyn,13349,326772,1075338,8209.942900299,7687.823730469,8185.830566406,1695.516177976,1637.806152344,1907.354614258,1535.930757875,1360.163574219,1452.490356445,1405.211117899,1183.216552734,1393.950683594,1261.150478091,1047.953613281,1053.554931641,16080.23713069,14849.41308594,15939.81933594,0.0408511
2005,32,Brooklyn,18119,326772,1075338,8281.777237113,7687.823730469,8185.830566406,1847.134580564,1637.806152344,1907.354614258,1671.514911533,1360.163574219,1452.490356445,1171.755944921,1183.216552734,1393.950683594,1079.995512164,1047.953613281,1053.554931641,15945.53456839,14849.41308594,15939.81933594,0.0554484
2005,1,Manhattan,10975,156884,1075338,9046.203145733,7740.087890625,8185.830566406,2380.451552261,1840.432373047,1907.354614258,1413.786689016,1500.943481445,1452.490356445,1275.514164399,1068.405639648,1393.950683594,1316.673725515,1218.077148438,1053.554931641,17441.49270092,15359.85253906,15939.81933594,0.0699561
2005,2,Manhattan,58989,156884,1075338,6872.768729968,7740.087890625,8185.830566406,1658.384959105,1840.432373047,1907.354614258,1517.336855113,1500.943481445,1452.490356445,902.1389507006,1068.405639648,1393.950683594,1317.178849907,1218.077148438,1053.554931641,14244.36107035,15359.85253906,15939.81933594,0.3760039
2005,3,Manhattan,24095,156884,1075338,7534.080089917,7740.087890625,8185.830566406,1917.370489656,1840.432373047,1907.354614258,1542.424394759,1500.943481445,1452.490356445,978.1358334408,1068.405639648,1393.950683594,1260.88279362,1218.077148438,1053.554931641,15253.63397264,15359.85253906,15939.81933594,0.1535848
2005,4,Manhattan,16399,156884,1075338,8177.50642171,7740.087890625,8185.830566406,2045.684966257,1840.432373047,1907.354614258,1417.496055879,1500.943481445,1452.490356445,1103.8351461,1068.405639648,1393.950683594,1155.368156518,1218.077148438,1053.554931641,15903.5470787,15359.85253906,15939.81933594,0.1045295
2005,5,Manhattan,14483,156884,1075338,8910.193625606,7740.087890625,8185.830566406,2260.682238405,1840.432373047,1907.354614258,1623.550279883,1500.943481445,1452.490356445,1321.677148113,1068.405639648,1393.950683594,1267.750587409,1218.077148438,1053.554931641,17356.78103127,15359.85253906,15939.81933594,0.0923166
2005,6,Manhattan,31943,156884,1075338,8293.312404246,7740.087890625,8185.830566406,1637.128216868,1840.432373047,1907.354614258,1456.576422621,1500.943481445,1452.490356445,1239.360325687,1068.405639648,1393.950683594,978.5734230452,1218.077148438,1053.554931641,15600.20114262,15359.85253906,15939.81933594,0.203609
2005,24,Queens,50248,271494,1075338,7167.72426198,7208.4609375,8185.830566406,1297.775575692,1413.697143555,1907.354614258,1202.661714678,1286.922973633,1452.490356445,1243.874859684,1249.646606445,1393.950683594,751.1101134524,897.7135620117,1053.554931641,13493.74049156,13941.16210938,15939.81933594,0.1850796
2005,25,Queens,31200,271494,1075338,7327.37711535,7208.4609375,8185.830566406,1520.940070477,1413.697143555,1907.354614258,1340.394998803,1286.922973633,1452.490356445,1384.09178967,1249.646606445,1393.950683594,946.552073047,897.7135620117,1053.554931641,14459.97805559,13941.16210938,15939.81933594,0.1149197
2005,26,Queens,33392,271494,1075338,6492.227645585,7208.4609375,8185.830566406,1275.845816338,1413.697143555,1907.354614258,1138.902082776,1286.922973633,1452.490356445,1085.635260369,1249.646606445,1393.950683594,906.9496274565,897.7135620117,1053.554931641,12825.85842328,13941.16210938,15939.81933594,0.1229935
2005,27,Queens,47113,271494,1075338,7425.460931148,7208.4609375,8185.830566406,1499.041760661,1413.697143555,1907.354614258,1282.062615333,1286.922973633,1452.490356445,1317.605822695,1249.646606445,1393.950683594,940.7477352799,897.7135620117,1053.554931641,14376.75566532,13941.16210938,15939.81933594,0.1735324
2005,28,Queens,37883,271494,1075338,7112.364530675,7208.4609375,8185.830566406,1382.962971483,1413.697143555,1907.354614258,1315.516723978,1286.922973633,1452.490356445,1114.057131423,1249.646606445,1393.950683594,916.4075611078,897.7135620117,1053.554931641,13730.03700402,13941.16210938,15939.81933594,0.1395353
